date,open,high,low,close,change,volume
2023-05-02,1982.81,2019.54,1978.38,2016.28,1.73%,0
2023-05-03,2036.86,2080.72,2030.34,2051.11,1.73%,0
2023-05-04,2036.86,2073.29,2030.34,2051.11,0.00%,0
2023-05-05,2051.73,2053.13,1999.30,2016.54,-1.69%,0
2023-05-08,2015.95,2029.63,2014.10,2021.39,0.24%,0
2023-05-09,2022.24,2037.70,2019.50,2034.17,0.63%,0
2023-05-10,2034.19,2048.22,2021.57,2029.51,-0.23%,0
2023-05-11,2030.56,2041.44,2011.19,2015.55,-0.69%,0
2023-05-12,2015.19,2022.56,2001.05,2011.15,-0.22%,0
2023-05-15,2011.72,2022.20,2007.28,2018.41,0.36%,0
2023-05-16,2015.90,2018.94,1985.47,1988.60,-1.48%,0
2023-05-17,1988.94,1993.13,1974.80,1981.72,-0.35%,0
2023-05-18,1981.52,1986.12,1951.97,1958.05,-1.19%,0
2023-05-19,1957.40,1984.09,1954.05,1976.56,0.94%,0
2023-05-22,1977.80,1982.66,1968.40,1969.43,-0.36%,0
2023-05-23,1971.99,1977.80,1954.29,1974.73,0.27%,0
2023-05-24,1975.19,1985.30,1956.51,1957.01,-0.90%,0
2023-05-25,1958.13,1964.95,1938.86,1940.34,-0.85%,0
2023-05-26,1940.69,1957.40,1936.84,1946.33,0.31%,0
2023-05-29,1944.09,1949.75,1940.30,1942.84,-0.18%,0
2023-05-30,1944.19,1963.63,1932.08,1959.14,0.84%,0
2023-05-31,1959.30,1975.34,1953.67,1962.30,0.16%,0
2023-06-01,1962.80,1983.27,1953.43,1977.88,0.79%,0
2023-06-02,1978.14,1983.52,1947.67,1947.63,-1.53%,0
2023-06-05,1947.59,1964.13,1938.14,1961.45,0.71%,0
2023-06-06,1962.11,1966.85,1954.00,1962.85,0.07%,0
2023-06-07,1963.59,1970.26,1939.80,1939.63,-1.18%,0
2023-06-08,1940.59,1970.50,1939.81,1967.76,1.45%,0
2023-06-09,1968.10,1973.09,1956.73,1960.60,-0.36%,0
2023-06-12,1960.25,1967.55,1948.80,1956.92,-0.19%,0
2023-06-13,1957.69,1970.74,1939.99,1943.33,-0.69%,0
2023-06-14,1943.49,1960.41,1939.73,1942.99,-0.02%,0
2023-06-15,1943.44,1960.34,1925.30,1957.65,0.75%,0
2023-06-16,1957.68,1968.00,1953.42,1957.36,-0.01%,0
2023-06-19,1957.99,1958.93,1947.80,1950.12,-0.37%,0
2023-06-20,1950.90,1956.87,1929.77,1935.91,-0.73%,0
2023-06-21,1935.42,1939.55,1919.34,1932.26,-0.19%,0
2023-06-22,1932.09,1935.00,1912.34,1913.52,-0.97%,0
2023-06-23,1913.80,1937.10,1910.24,1921.36,0.41%,0
2023-06-26,1924.30,1933.48,1921.59,1922.85,0.08%,0
2023-06-27,1923.21,1930.85,1911.19,1913.35,-0.49%,0
2023-06-28,1913.59,1917.24,1902.84,1907.42,-0.31%,0
2023-06-29,1908.80,1913.15,1893.01,1908.15,0.04%,0
2023-06-30,1908.53,1922.90,1900.56,1919.57,0.60%,0
2023-07-03,1919.40,1931.09,1910.10,1921.43,0.10%,0
2023-07-04,1921.78,1930.84,1919.90,1925.09,0.19%,0
2023-07-05,1925.90,1935.17,1914.48,1917.32,-0.40%,0
2023-07-06,1916.05,1927.69,1902.68,1910.80,-0.34%,0
2023-07-07,1911.07,1934.92,1909.56,1924.28,0.71%,0
2023-07-10,1925.19,1928.31,1912.68,1924.99,0.04%,0
2023-07-11,1925.40,1938.69,1924.40,1931.99,0.36%,0
2023-07-12,1932.59,1959.82,1932.18,1957.09,1.30%,0
2023-07-13,1957.44,1963.69,1952.71,1960.19,0.16%,0
2023-07-14,1961.58,1963.81,1951.00,1954.93,-0.27%,0
2023-07-17,1954.90,1959.91,1945.82,1954.74,-0.01%,0
2023-07-18,1954.59,1984.39,1954.44,1978.71,1.23%,0
2023-07-19,1978.97,1981.05,1969.75,1976.74,-0.10%,0
2023-07-20,1976.80,1987.59,1965.40,1969.62,-0.36%,0
2023-07-21,1969.99,1973.89,1956.82,1960.23,-0.48%,0
2023-07-24,1962.09,1967.97,1953.42,1954.51,-0.29%,0
2023-07-25,1955.20,1966.03,1953.21,1964.58,0.52%,0
2023-07-26,1964.99,1978.31,1961.99,1972.10,0.38%,0
2023-07-27,1972.08,1982.24,1942.61,1944.99,-1.38%,0
2023-07-28,1944.27,1963.71,1944.27,1959.20,0.73%,0
2023-07-31,1959.49,1972.44,1951.00,1964.19,0.25%,0
2023-08-01,1965.10,1966.24,1941.20,1944.08,-1.02%,0
2023-08-02,1945.74,1955.40,1933.00,1933.56,-0.54%,0
2023-08-03,1934.66,1939.03,1929.55,1933.74,0.01%,0
2023-08-04,1934.12,1947.19,1929.75,1941.62,0.41%,0
2023-08-07,1942.59,1946.81,1931.53,1936.39,-0.27%,0
2023-08-08,1936.76,1938.15,1922.50,1924.82,-0.60%,0
2023-08-09,1925.16,1932.48,1914.05,1914.59,-0.53%,0
2023-08-10,1914.94,1930.11,1911.73,1912.06,-0.13%,0
2023-08-11,1912.65,1921.15,1910.94,1913.32,0.07%,0
2023-08-14,1913.67,1916.55,1902.20,1907.90,-0.28%,0
2023-08-15,1907.40,1912.19,1896.15,1901.56,-0.33%,0
2023-08-16,1901.59,1907.90,1891.30,1891.76,-0.52%,0
2023-08-17,1892.20,1903.90,1884.50,1888.89,-0.15%,0
2023-08-18,1889.49,1897.44,1886.20,1888.19,-0.04%,0
2023-08-21,1889.40,1899.05,1884.50,1893.94,0.30%,0
2023-08-22,1895.09,1905.05,1888.60,1897.00,0.16%,0
2023-08-23,1897.80,1920.94,1897.23,1914.31,0.91%,0
2023-08-24,1914.15,1923.94,1911.35,1916.60,0.12%,0
2023-08-25,1917.80,1923.09,1903.40,1914.53,-0.11%,0
2023-08-28,1916.09,1926.19,1912.83,1919.66,0.27%,0
2023-08-29,1920.23,1938.41,1914.00,1937.12,0.91%,0
2023-08-30,1937.48,1949.04,1934.94,1942.24,0.26%,0
2023-08-31,1942.61,1948.19,1938.86,1939.74,-0.13%,0
2023-09-01,1940.19,1953.44,1934.59,1938.80,-0.05%,0
2023-09-04,1940.49,1946.42,1936.15,1938.19,-0.03%,0
2023-09-05,1938.59,1939.13,1925.22,1925.81,-0.64%,0
2023-09-06,1926.16,1929.80,1914.80,1916.28,-0.50%,0
2023-09-07,1916.86,1923.67,1916.10,1919.19,0.15%,0
2023-09-08,1919.57,1930.19,1917.36,1917.81,-0.07%,0
2023-09-11,1919.16,1930.90,1916.90,1921.66,0.20%,0
2023-09-12,1922.90,1925.05,1907.15,1913.26,-0.44%,0
2023-09-13,1913.55,1916.30,1905.50,1906.30,-0.36%,0
2023-09-14,1906.68,1912.99,1900.95,1910.32,0.21%,0
2023-09-15,1910.90,1930.84,1909.74,1923.57,0.69%,0
2023-09-18,1924.19,1934.61,1922.15,1933.14,0.50%,0
2023-09-19,1933.68,1937.94,1929.71,1930.94,-0.11%,0
2023-09-20,1931.69,1947.80,1927.90,1929.68,-0.07%,0
2023-09-21,1930.99,1931.74,1913.40,1919.57,-0.52%,0
2023-09-22,1920.08,1929.65,1919.58,1924.99,0.28%,0
2023-09-25,1925.24,1927.26,1915.00,1915.66,-0.48%,0
2023-09-26,1916.03,1916.89,1899.17,1900.49,-0.79%,0
2023-09-27,1900.69,1903.95,1872.47,1874.70,-1.36%,0
2023-09-28,1875.73,1880.15,1857.76,1864.56,-0.54%,0
2023-09-29,1865.43,1880.24,1846.34,1848.31,-0.87%,0
2023-10-02,1848.13,1849.06,1826.60,1827.40,-1.13%,0
2023-10-03,1827.96,1833.36,1814.70,1822.81,-0.25%,0
2023-10-04,1824.30,1831.05,1816.15,1821.08,-0.10%,0
2023-10-05,1820.49,1829.30,1812.70,1820.01,-0.06%,0
2023-10-06,1820.40,1834.97,1810.10,1832.26,0.67%,0
2023-10-09,1832.74,1864.15,1832.63,1860.88,1.56%,0
2023-10-10,1861.27,1865.65,1852.65,1860.09,-0.04%,0
2023-10-11,1859.99,1877.22,1858.60,1873.61,0.73%,0
2023-10-12,1874.10,1885.30,1866.92,1868.65,-0.26%,0
2023-10-13,1869.02,1933.76,1868.94,1931.70,3.37%,0
2023-10-16,1929.30,1931.80,1907.65,1919.44,-0.63%,0
2023-10-17,1920.14,1931.56,1911.85,1922.46,0.16%,0
2023-10-18,1923.70,1962.74,1923.05,1947.69,1.31%,0
2023-10-19,1947.99,1977.86,1945.18,1973.70,1.34%,0
2023-10-20,1974.31,1997.27,1971.93,1981.04,0.37%,0
2023-10-23,1972.90,1983.40,1964.36,1972.59,-0.43%,0
2023-10-24,1972.97,1980.99,1953.50,1970.11,-0.13%,0
2023-10-25,1971.36,1987.19,1963.34,1979.62,0.48%,0
2023-10-26,1979.97,1994.05,1971.60,1984.82,0.26%,0
2023-10-27,1985.17,2009.48,1976.35,2005.78,1.06%,0
2023-10-30,2004.80,2007.37,1990.50,1995.88,-0.49%,0
2023-10-31,1996.00,2007.80,1978.90,1982.70,-0.66%,0
2023-11-01,1983.01,1992.09,1969.90,1982.15,-0.03%,0
2023-11-02,1983.53,1991.49,1978.90,1985.51,0.17%,0
2023-11-03,1985.69,2004.06,1983.26,1992.27,0.34%,0
2023-11-06,1992.30,1993.30,1977.52,1977.68,-0.73%,0
2023-11-07,1978.19,1978.75,1956.20,1968.40,-0.47%,0
2023-11-08,1968.84,1971.12,1947.48,1949.79,-0.95%,0
2023-11-09,1950.09,1965.69,1944.30,1958.19,0.43%,0
2023-11-10,1958.40,1960.93,1933.18,1936.79,-1.09%,0
2023-11-13,1937.05,1949.27,1931.73,1945.89,0.47%,0
2023-11-14,1946.19,1970.84,1943.40,1962.67,0.86%,0
2023-11-15,1963.05,1975.59,1955.41,1959.09,-0.18%,0
2023-11-16,1959.44,1988.03,1956.49,1980.85,1.11%,0
2023-11-17,1981.21,1993.94,1978.59,1980.01,-0.04%,0
2023-11-20,1980.39,1985.26,1965.20,1977.19,-0.14%,0
2023-11-21,1977.49,2007.52,1977.34,1998.37,1.07%,0
2023-11-22,1998.69,2006.90,1986.89,1989.72,-0.43%,0
2023-11-23,1990.15,1999.19,1989.01,1991.79,0.10%,0
2023-11-24,1994.06,2003.68,1991.40,2001.97,0.51%,0
2023-11-27,2002.78,2018.14,2000.67,2013.64,0.58%,0
2023-11-28,2013.94,2043.00,2011.60,2040.89,1.35%,0
2023-11-29,2041.24,2052.09,2035.05,2044.59,0.18%,0
2023-11-30,2044.80,2047.59,2031.84,2035.75,-0.43%,0
2023-12-01,2034.49,2075.34,2033.75,2070.90,1.73%,0
2023-12-04,2071.07,2135.72,2020.41,2030.06,-1.97%,0
2023-12-05,2030.15,2041.33,2010.02,2019.42,-0.52%,0
2023-12-06,2019.74,2036.30,2017.27,2024.90,0.27%,0
2023-12-07,2025.30,2039.93,2020.26,2028.34,0.17%,0
2023-12-08,2028.69,2034.19,1994.74,2003.39,-1.23%,0
2023-12-11,2003.60,2008.72,1975.95,1981.30,-1.10%,0
2023-12-12,1981.59,1996.80,1977.19,1979.44,-0.09%,0
2023-12-13,1979.74,2027.55,1973.09,2026.39,2.37%,0
2023-12-14,2026.59,2047.98,2024.33,2035.53,0.45%,0
2023-12-15,2035.80,2045.55,2015.68,2018.19,-0.85%,0
2023-12-18,2020.09,2033.71,2015.99,2027.00,0.44%,0
2023-12-19,2027.30,2047.07,2021.74,2040.12,0.65%,0
2023-12-20,2040.34,2043.94,2029.37,2029.19,-0.54%,0
2023-12-21,2029.44,2046.07,2029.44,2045.49,0.80%,0
2023-12-22,2045.84,2070.65,2045.65,2052.98,0.37%,0
2023-12-25,2054.32,2058.36,2053.96,2054.93,0.10%,0
2023-12-26,2055.73,2068.65,2053.59,2067.20,0.60%,0
2023-12-27,2066.70,2084.59,2061.00,2077.00,0.47%,0
2023-12-28,2077.34,2088.54,2065.89,2066.04,-0.53%,0
2023-12-29,2065.15,2075.15,2057.75,2062.59,-0.17%,0
2024-01-01,2064.24,2074.90,2063.30,2063.80,0.06%,0
2024-01-02,2062.90,2079.02,2056.04,2058.51,-0.26%,0
2024-01-03,2059.15,2066.12,2030.68,2040.19,-0.89%,0
2024-01-04,2041.34,2051.40,2036.24,2043.26,0.15%,0
2024-01-05,2043.69,2064.03,2024.49,2045.50,0.11%,0
2024-01-08,2044.08,2046.71,2016.84,2027.84,-0.86%,0
2024-01-09,2028.40,2042.09,2026.11,2029.59,0.09%,0
2024-01-10,2029.94,2040.44,2020.45,2023.40,-0.31%,0
2024-01-11,2023.74,2039.69,2013.32,2028.09,0.23%,0
2024-01-12,2028.30,2062.35,2027.99,2048.72,1.02%,0
2024-01-15,2048.09,2059.25,2045.80,2054.49,0.28%,0
2024-01-16,2054.91,2055.65,2024.29,2027.59,-1.31%,0
