"Date","Price","Open","High","Low","Vol.","Change %"
"09/07/2023","89.92","90.81","90.89","89.46","21302K","-0.75%"
"09/06/2023","90.60","90.12","91.10","89.25","28291K","0.62%"
"09/05/2023","90.04","88.91","91.15","88.06","42845K","1.17%"
"09/04/2023","89.00","88.95","89.22","88.26","14067K","0.51%"
"09/01/2023","88.55","86.82","88.99","86.74","38076K","1.95%"
"08/31/2023","86.86","86.00","86.94","85.74","11.7K","1.16%"
"08/30/2023","85.86","85.62","86.23","85.11","86.4K","0.43%"
"08/29/2023","85.49","84.39","85.65","83.80","11536K","1.27%"
"08/28/2023","84.42","84.87","85.23","84.11","88.5K","-0.07%"
"08/25/2023","84.48","83.26","84.97","82.67","23035K","1.34%"
"08/24/2023","83.36","82.95","83.62","81.97","25384K","0.18%"
"08/23/2023","83.21","83.99","84.26","81.94","36161K","-0.98%"
"08/22/2023","84.03","84.46","84.66","83.85","28735K","-0.51%"
"08/21/2023","84.46","84.80","85.86","84.31","28924K","-0.40%"
"08/18/2023","84.80","83.88","85.08","83.33","28797K","0.81%"
"08/17/2023","84.12","83.20","84.88","83.05","30558K","0.80%"
"08/16/2023","83.45","85.20","85.36","83.13","33445K","-1.70%"
"08/15/2023","84.89","86.12","86.68","84.29","30541K","-1.53%"
"08/14/2023","86.21","86.53","86.71","85.50","26709K","-0.69%"
"08/11/2023","86.81","86.37","87.35","85.84","31806K","0.47%"
"08/10/2023","86.40","87.39","88.10","86.20","33757K","-1.31%"
"08/09/2023","87.55","86.00","87.65","85.91","38830K","1.60%"
"08/08/2023","86.17","85.79","86.34","83.32","37587K","0.97%"
"08/07/2023","85.34","86.23","86.73","85.03","25962K","-1.04%"
"08/04/2023","86.24","85.31","86.65","85.06","26875K","1.29%"
"08/03/2023","85.14","83.46","85.41","82.36","39261K","2.33%"
"08/02/2023","83.20","85.86","85.99","82.74","39919K","-2.01%"
"08/01/2023","84.91","85.24","85.91","84.21","29777K","-0.76%"
"07/31/2023","85.56","84.95","85.80","84.40","16.3K","0.67%"
"07/28/2023","84.99","83.71","85.09","83.22","10284K","0.89%"
"07/27/2023","84.24","82.93","84.50","82.93","11065K","1.59%"
"07/26/2023","82.92","83.19","83.85","82.58","17382K","-0.86%"
"07/25/2023","83.64","82.85","83.87","82.22","23466K","1.09%"
"07/24/2023","82.74","80.95","83.16","80.42","29510K","2.06%"
"07/21/2023","81.07","79.78","81.24","79.65","29435K","1.80%"
"07/20/2023","79.64","79.33","80.27","78.66","23641K","0.23%"
"07/19/2023","79.46","79.84","80.93","79.17","31144K","-0.21%"
"07/18/2023","79.63","78.52","79.99","78.19","36647K","1.44%"
"07/17/2023","78.50","79.36","80.64","78.25","34116K","-1.72%"
"07/14/2023","79.87","81.64","81.70","79.53","31123K","-1.83%"
"07/13/2023","81.36","80.19","81.75","79.88","41612K","1.56%"
"07/12/2023","80.11","79.32","80.55","79.21","36233K","0.89%"
"07/11/2023","79.40","77.82","79.50","77.63","33384K","2.20%"
"07/10/2023","77.69","78.60","78.77","77.36","28840K","-0.99%"
"07/07/2023","78.47","76.52","78.54","76.03","33153K","2.55%"
"07/06/2023","76.52","76.70","77.09","75.03","0.4K","-0.17%"
"07/05/2023","76.65","76.03","76.95","75.30","29374K","0.52%"
"07/04/2023","76.25","74.89","76.29","74.74","15796K","2.14%"
"07/03/2023","74.65","75.11","76.60","74.56","32800K","-0.33%"
"06/30/2023","74.90","74.22","75.40","74.21","14.0K","0.75%"
"06/29/2023","74.34","73.72","74.98","73.39","72.7K","0.42%"
"06/28/2023","74.03","72.62","74.20","71.57","91.5K","2.45%"
"06/27/2023","72.26","74.28","74.90","72.08","16115K","-2.59%"
"06/26/2023","74.18","74.50","74.85","73.42","15017K","0.45%"
