date,open,high,low,close,change,volume
2023-06-22,77.03,77.20,73.59,74.14,-3.86%,32953K
2023-06-23,74.02,74.44,72.11,73.85,-0.39%,16954K
2023-06-26,74.50,74.85,73.42,74.18,0.45%,15017K
2023-06-27,74.28,74.90,72.08,72.26,-2.59%,16115K
2023-06-28,72.62,74.20,71.57,74.03,2.45%,91.5K
2023-06-29,73.72,74.98,73.39,74.34,0.42%,72.7K
2023-06-30,74.22,75.40,74.21,74.90,0.75%,14.0K
2023-07-03,75.11,76.60,74.56,74.65,-0.33%,32800K
2023-07-04,74.89,76.29,74.74,76.25,2.14%,15796K
2023-07-05,76.03,76.95,75.30,76.65,0.52%,29374K
2023-07-06,76.70,77.09,75.03,76.52,-0.17%,0.4K
2023-07-07,76.52,78.54,76.03,78.47,2.55%,33153K
2023-07-10,78.60,78.77,77.36,77.69,-0.99%,28840K
2023-07-11,77.82,79.50,77.63,79.40,2.20%,33384K
2023-07-12,79.32,80.55,79.21,80.11,0.89%,36233K
2023-07-13,80.19,81.75,79.88,81.36,1.56%,41612K
2023-07-14,81.64,81.70,79.53,79.87,-1.83%,31123K
2023-07-17,79.36,80.64,78.25,78.50,-1.72%,34116K
2023-07-18,78.52,79.99,78.19,79.63,1.44%,36647K
2023-07-19,79.84,80.93,79.17,79.46,-0.21%,31144K
2023-07-20,79.33,80.27,78.66,79.64,0.23%,23641K
2023-07-21,79.78,81.24,79.65,81.07,1.80%,29435K
2023-07-24,80.95,83.16,80.42,82.74,2.06%,29510K
2023-07-25,82.85,83.87,82.22,83.64,1.09%,23466K
2023-07-26,83.19,83.85,82.58,82.92,-0.86%,17382K
2023-07-27,82.93,84.50,82.93,84.24,1.59%,11065K
2023-07-28,83.71,85.09,83.22,84.99,0.89%,10284K
2023-07-31,84.95,85.80,84.40,85.56,0.67%,16.3K
2023-08-01,85.24,85.91,84.21,84.91,-0.76%,29777K
2023-08-02,85.86,85.99,82.74,83.20,-2.01%,39919K
2023-08-03,83.46,85.41,82.36,85.14,2.33%,39261K
2023-08-04,85.31,86.65,85.06,86.24,1.29%,26875K
2023-08-07,86.23,86.73,85.03,85.34,-1.04%,25962K
2023-08-08,85.79,86.34,83.32,86.17,0.97%,37587K
2023-08-09,86.00,87.65,85.91,87.55,1.60%,38830K
2023-08-10,87.39,88.10,86.20,86.40,-1.31%,33757K
2023-08-11,86.37,87.35,85.84,86.81,0.47%,31806K
2023-08-14,86.53,86.71,85.50,86.21,-0.69%,26709K
2023-08-15,86.12,86.68,84.29,84.89,-1.53%,30541K
2023-08-16,85.20,85.36,83.13,83.45,-1.70%,33445K
2023-08-17,83.20,84.88,83.05,84.12,0.80%,30558K
2023-08-18,83.88,85.08,83.33,84.80,0.81%,28797K
2023-08-21,84.80,85.86,84.31,84.46,-0.40%,28924K
2023-08-22,84.46,84.66,83.85,84.03,-0.51%,28735K
2023-08-23,83.99,84.26,81.94,83.21,-0.98%,36161K
2023-08-24,82.95,83.62,81.97,83.36,0.18%,25384K
2023-08-25,83.26,84.97,82.67,84.48,1.34%,23035K
2023-08-28,84.87,85.23,84.11,84.42,-0.07%,88.5K
2023-08-29,84.39,85.65,83.80,85.49,1.27%,11536K
2023-08-30,85.62,86.23,85.11,85.86,0.43%,86.4K
2023-08-31,86.00,86.94,85.74,86.86,1.16%,11.7K
2023-09-01,86.82,88.99,86.74,88.55,1.95%,38076K
2023-09-04,88.95,89.22,88.26,89.00,0.51%,14067K
2023-09-05,88.91,91.15,88.06,90.04,1.17%,42845K
2023-09-06,90.12,91.10,89.25,90.60,0.62%,28291K
2023-09-07,90.81,90.89,89.46,89.92,-0.75%,21302K
2023-09-08,89.79,91.02,89.30,90.65,0.81%,29814K
2023-09-11,90.83,91.45,90.11,90.64,-0.01%,30342K
2023-09-12,90.62,92.40,90.52,92.06,1.57%,33657K
2023-09-13,92.04,92.84,91.63,91.88,-0.20%,30275K
2023-09-14,92.04,94.21,92.02,93.70,1.98%,31000K
2023-09-15,94.02,94.63,92.67,93.93,0.25%,31690K
2023-09-18,94.28,94.95,93.79,94.43,0.53%,33778K
2023-09-19,94.66,95.96,94.16,94.34,-0.10%,40340K
2023-09-20,94.49,94.72,92.76,93.53,-0.86%,33059K
2023-09-21,93.08,94.60,92.20,93.30,-0.25%,31469K
2023-09-22,93.37,94.64,92.80,93.27,-0.03%,24004K
2023-09-25,93.75,94.25,92.54,93.29,0.02%,17762K
2023-09-26,93.28,94.21,91.80,93.96,0.72%,16945K
2023-09-27,94.12,97.06,94.10,96.55,2.76%,14672K
2023-09-28,96.74,97.69,94.76,95.38,-1.21%,91.5K
2023-09-29,95.07,96.26,94.90,95.31,-0.07%,12.4K
2023-10-02,92.18,93.33,90.35,90.71,-4.83%,42348K
2023-10-03,90.40,91.56,89.50,90.92,0.23%,43764K
2023-10-04,91.04,91.21,85.75,85.81,-5.62%,52556K
2023-10-05,85.88,86.52,83.84,84.07,-2.03%,51068K
2023-10-06,84.49,84.95,83.44,84.58,0.61%,42446K
2023-10-09,86.45,89.00,86.00,88.15,4.22%,41276K
