date,open,high,low,close,change,volume
2024-02-20,38552.00,38658.66,38461.97,38564.03,-0.17%,314.61M
2024-02-21,38491.20,38618.03,38339.57,38612.18,0.12%,268.12M
2024-02-22,38852.13,39148.51,38802.72,39068.98,1.18%,316.71M
2024-02-23,39127.97,39281.95,39094.70,39131.53,0.16%,280.88M
2024-02-26,39165.13,39245.89,39025.80,39069.30,-0.16%,284.35M
2024-02-27,39087.90,39087.90,38881.90,38972.74,-0.25%,266.84M
2024-02-28,38938.08,38952.63,38741.87,38949.29,-0.06%,263.37M
2024-02-29,39013.75,39071.10,38810.84,38995.93,0.12%,468.47M
2024-03-01,38989.51,39119.69,38852.99,39087.38,0.23%,324.51M
2024-03-04,38946.01,39087.40,38915.86,38989.83,-0.25%,381.58M
2024-03-05,38906.98,38906.98,38457.83,38585.19,-1.04%,386.72M
2024-03-06,38721.15,38857.94,38571.23,38661.12,0.20%,338.93M
2024-03-07,38784.30,38909.97,38731.00,38791.35,0.34%,331.71M
2024-03-08,38776.80,38968.54,38706.94,38723.15,-0.18%,337.24M
2024-03-11,38667.21,38794.21,38483.57,38769.73,0.12%,294.08M
2024-03-12,38860.49,39071.04,38715.84,39005.40,0.61%,317.39M
2024-03-13,39090.03,39200.67,38938.52,39043.39,0.10%,323.36M
2024-03-14,39139.70,39160.25,38705.03,38905.92,-0.35%,368.38M
2024-03-15,38809.65,38923.02,38618.22,38714.77,-0.49%,688.90M
2024-03-18,38826.93,38898.12,38763.60,38790.43,0.20%,322.70M
2024-03-19,38834.25,39122.07,38761.52,39110.21,0.82%,295.74M
2024-03-20,39072.05,39527.63,38990.34,39512.13,1.03%,338.76M
2024-03-21,39661.03,39887.48,39591.13,39781.50,0.68%,386.08M
2024-03-22,39774.06,39823.70,39469.53,39475.64,-0.77%,316.21M
2024-03-25,39410.54,39430.17,39296.91,39313.77,-0.41%,309.47M
2024-03-26,39338.32,39438.24,39278.86,39282.59,-0.08%,294.97M
2024-03-27,39461.98,39766.40,39461.98,39760.41,1.22%,321.54M
2024-03-28,39763.74,39867.88,39718.41,39807.18,0.12%,338.82M
2024-04-01,39807.93,39813.07,39491.38,39566.85,-0.60%,267.48M
2024-04-02,39256.27,39256.27,39054.77,39171.22,-1.00%,306.77M
2024-04-03,39139.59,39305.13,39027.01,39127.01,-0.11%,354.33M
2024-04-04,39343.60,39420.48,38560.89,38597.30,-1.35%,347.12M
2024-04-05,38673.00,39040.03,38602.18,38904.10,0.79%,310.97M
2024-04-08,38916.42,39013.20,38859.45,38892.80,-0.03%,281.00M
2024-04-09,38983.66,38990.29,38572.44,38883.94,-0.02%,324.79M
2024-04-10,38662.28,38662.28,38305.51,38461.51,-1.09%,312.68M
2024-04-11,38523.26,38598.98,38198.07,38459.08,-0.01%,346.13M
2024-04-12,38218.12,38290.51,37877.70,37983.24,-1.24%,426.71M
2024-04-15,38319.68,38380.31,37657.79,37735.24,-0.65%,374.40M
2024-04-16,37992.22,37992.22,37716.97,37798.77,0.17%,323.70M
2024-04-17,37949.67,38028.80,37611.95,37753.37,-0.12%,310.47M
2024-04-18,37847.21,38082.96,37682.83,37778.21,0.07%,291.61M
2024-04-19,37801.98,38101.92,37781.61,37986.53,0.55%,407.00M
2024-04-22,38116.89,38447.05,37985.07,38240.57,0.67%,339.29M
2024-04-23,38356.07,38561.50,38297.72,38503.69,0.69%,329.42M
2024-04-24,38552.79,38552.79,38310.55,38460.92,-0.11%,342.89M
2024-04-25,38052.09,38157.22,37754.38,38085.80,-0.98%,417.16M
2024-04-26,38114.70,38337.64,38065.05,38239.66,0.40%,401.46M
2024-04-29,38282.16,38406.20,38215.47,38386.09,0.38%,345.68M
2024-04-30,38337.40,38337.40,37812.07,37815.85,-1.49%,417.17M
2024-05-01,37845.56,38348.65,37789.93,37902.57,0.23%,408.59M
2024-05-02,38075.65,38294.73,37895.66,38225.86,0.85%,348.19M
2024-05-03,38709.36,38805.21,38521.28,38675.68,1.18%,400.95M
2024-05-06,38762.43,38886.47,38689.38,38852.27,0.46%,319.43M
2024-05-07,38858.94,38977.61,38840.40,38884.26,0.08%,366.81M
2024-05-08,38818.90,39094.74,38814.99,39056.39,0.44%,292.35M
2024-05-09,39064.27,39413.66,38988.85,39387.76,0.85%,307.17M
2024-05-10,39466.52,39579.88,39406.26,39512.84,0.32%,291.49M
2024-05-13,39591.28,39647.39,39403.05,39431.51,-0.21%,325.23M
2024-05-14,39466.76,39616.41,39371.92,39558.11,0.32%,326.25M
2024-05-15,39615.10,39935.04,39615.10,39908.00,0.88%,424.32M
2024-05-16,39912.34,40051.05,39864.68,39869.38,-0.10%,404.94M
2024-05-17,39911.72,40010.88,39858.86,40003.59,0.34%,305.08M
2024-05-20,39989.76,40077.40,39787.09,39806.77,-0.49%,275.31M
2024-05-21,39804.40,39905.80,39778.73,39872.99,0.17%,318.22M
2024-05-22,39863.33,39890.91,39559.09,39671.04,-0.51%,260.94M
2024-05-23,39694.95,39694.95,39025.51,39065.26,-1.53%,338.76M
2024-05-24,39089.23,39220.31,39020.29,39069.59,0.01%,254.83M
2024-05-28,39028.99,39028.99,38706.14,38852.86,-0.55%,306.72M
2024-05-29,38716.28,38716.28,38413.67,38441.54,-1.06%,294.72M
2024-05-30,38368.35,38493.60,38000.96,38111.48,-0.86%,365.27M
2024-05-31,38140.26,38719.43,38092.27,38686.32,1.51%,624.93M
2024-06-03,38709.99,38735.61,38247.22,38571.03,-0.30%,320.21M
2024-06-04,38518.86,38786.62,38397.82,38711.29,0.36%,312.99M
2024-06-05,38774.82,38844.32,38548.77,38807.33,0.25%,315.04M
2024-06-06,38825.40,39004.16,38735.99,38886.17,0.20%,270.19M
2024-06-07,38861.24,39105.23,38751.85,38798.99,-0.22%,272.34M
2024-06-10,38784.90,38877.86,38665.45,38868.04,0.18%,336.86M
2024-06-11,38795.71,38795.71,38446.24,38747.42,-0.31%,388.66M
2024-06-12,38950.65,39120.26,38621.45,38712.21,-0.09%,477.29M
2024-06-13,38677.12,38712.21,38407.70,38647.10,-0.17%,343.99M
2024-06-14,38528.39,38595.24,38305.85,38589.16,-0.15%,275.11M
2024-06-17,38565.18,38839.88,38431.95,38778.10,0.49%,351.11M
2024-06-18,38779.12,38936.93,38727.67,38834.86,0.15%,327.60M
2024-06-20,38804.73,39232.50,38778.46,39134.76,0.77%,404.72M
