date,open,high,low,close,change,volume
2023-05-01,13229.12,13287.47,13186.40,13231.47,-0.11%,21162M
2023-05-02,13225.48,13241.53,13046.79,13113.66,-0.89%,24911M
2023-05-03,13123.10,13231.71,13026.04,13030.21,-0.64%,25760M
2023-05-04,13014.08,13064.02,12938.45,12982.48,-0.37%,24578M
2023-05-05,13070.70,13291.11,13059.91,13259.13,2.13%,26500M
2023-05-08,13247.09,13302.43,13193.08,13291.64,0.25%,21196M
2023-05-09,13228.64,13254.81,13193.88,13201.11,-0.68%,23239M
2023-05-10,13308.42,13384.42,13204.79,13347.83,1.11%,28610M
2023-05-11,13376.86,13411.70,13306.08,13389.78,0.31%,24564M
2023-05-12,13407.02,13427.42,13256.56,13340.17,-0.37%,22344M
2023-05-15,13352.26,13419.81,13297.85,13413.51,0.55%,20043M
2023-05-16,13385.37,13498.44,13384.78,13426.01,0.09%,20997M
2023-05-17,13474.52,13608.33,13419.35,13589.26,1.22%,25455M
2023-05-18,13608.95,13844.76,13606.80,13834.62,1.81%,27688M
2023-05-19,13842.69,13874.42,13763.90,13803.49,-0.22%,26650M
2023-05-22,13805.33,13893.71,13792.97,13849.74,0.34%,22741M
2023-05-23,13773.68,13827.10,13662.91,13672.54,-1.28%,24174M
2023-05-24,13589.02,13655.73,13520.92,13604.48,-0.50%,23937M
2023-05-25,13920.89,13986.87,13812.18,13938.53,2.46%,34301M
2023-05-26,13990.55,14329.49,13982.16,14298.41,2.58%,35394M
2023-05-30,14465.59,14520.17,14301.08,14354.99,0.40%,30760M
2023-05-31,14293.56,14375.38,14216.16,14254.09,-0.70%,61528M
2023-06-01,14269.09,14493.31,14219.94,14441.51,1.31%,31466M
2023-06-02,14517.08,14595.81,14442.15,14546.64,0.73%,27386M
2023-06-05,14550.13,14662.95,14516.88,14556.50,0.07%,25409M
2023-06-06,14526.10,14593.50,14476.99,14558.09,0.01%,24904M
2023-06-07,14573.27,14647.91,14283.88,14303.29,-1.75%,33457M
2023-06-08,14319.24,14503.31,14314.70,14484.54,1.27%,25449M
2023-06-09,14574.24,14672.85,14487.48,14528.36,0.30%,25823M
2023-06-12,14617.35,14789.60,14571.36,14784.30,1.76%,28389M
2023-06-13,14911.26,14931.83,14770.13,14900.85,0.79%,27548M
2023-06-14,14894.10,15017.10,14784.62,15005.69,0.70%,30898M
2023-06-15,14949.70,15246.62,14930.12,15185.48,1.20%,32105M
2023-06-16,15272.65,15284.65,15073.45,15083.92,-0.67%,77126M
2023-06-20,15036.48,15127.42,14946.72,15070.15,-0.09%,29116M
2023-06-21,15019.01,15038.90,14826.02,14867.45,-1.35%,30896M
2023-06-22,14797.89,15044.22,14794.95,15042.32,1.18%,23461M
2023-06-23,14879.23,14983.73,14821.81,14891.48,-1.00%,42063M
2023-06-26,14866.66,14982.82,14687.02,14689.02,-1.36%,26606M
2023-06-27,14751.57,14972.32,14726.75,14945.91,1.75%,26900M
