date,close,open,high,low,volume,change
"12/07/2023","2028.34","2025.30","2039.93","2020.26","","0.17%"
"12/06/2023","2024.90","2019.74","2036.30","2017.27","","0.27%"
"12/05/2023","2019.42","2030.15","2041.33","2010.02","","-0.52%"
"12/04/2023","2030.06","2071.07","2135.72","2020.41","","-1.97%"
"12/01/2023","2070.90","2034.49","2075.34","2033.75","","1.73%"
"11/30/2023","2035.75","2044.80","2047.59","2031.84","","-0.43%"
"11/29/2023","2044.59","2041.24","2052.09","2035.05","","0.18%"
"11/28/2023","2040.89","2013.94","2043.00","2011.60","","1.35%"
"11/27/2023","2013.64","2002.78","2018.14","2000.67","","0.58%"
"11/24/2023","2001.97","1994.06","2003.68","1991.40","","0.51%"
"11/23/2023","1991.79","1990.15","1999.19","1989.01","","0.10%"
"11/22/2023","1989.72","1998.69","2006.90","1986.89","","-0.43%"
"11/21/2023","1998.37","1977.49","2007.52","1977.34","","1.07%"
"11/20/2023","1977.19","1980.39","1985.26","1965.20","","-0.14%"
"11/17/2023","1980.01","1981.21","1993.94","1978.59","","-0.04%"
"11/16/2023","1980.85","1959.44","1988.03","1956.49","","1.11%"
"11/15/2023","1959.09","1963.05","1975.59","1955.41","","-0.18%"
"11/14/2023","1962.67","1946.19","1970.84","1943.40","","0.86%"
"11/13/2023","1945.89","1937.05","1949.27","1931.73","","0.47%"
"11/10/2023","1936.79","1958.40","1960.93","1933.18","","-1.09%"
"11/09/2023","1958.19","1950.09","1965.69","1944.30","","0.43%"
"11/08/2023","1949.79","1968.84","1971.12","1947.48","","-0.95%"
"11/07/2023","1968.40","1978.19","1978.75","1956.20","","-0.47%"
"11/06/2023","1977.68","1992.30","1993.30","1977.52","","-0.73%"
"11/03/2023","1992.27","1985.69","2004.06","1983.26","","0.34%"
"11/02/2023","1985.51","1983.53","1991.49","1978.90","","0.17%"
"11/01/2023","1982.15","1983.01","1992.09","1969.90","","-0.03%"
"10/31/2023","1982.70","1996.00","2007.80","1978.90","","-0.66%"
"10/30/2023","1995.88","2004.80","2007.37","1990.50","","-0.49%"
"10/27/2023","2005.78","1985.17","2009.48","1976.35","","1.06%"
"10/26/2023","1984.82","1979.97","1994.05","1971.60","","0.26%"
"10/25/2023","1979.62","1971.36","1987.19","1963.34","","0.48%"
"10/24/2023","1970.11","1972.97","1980.99","1953.50","","-0.13%"
"10/23/2023","1972.59","1972.90","1983.40","1964.36","","-0.43%"
"10/20/2023","1981.04","1974.31","1997.27","1971.93","","0.37%"
"10/19/2023","1973.70","1947.99","1977.86","1945.18","","1.34%"
"10/18/2023","1947.69","1923.70","1962.74","1923.05","","1.31%"
"10/17/2023","1922.46","1920.14","1931.56","1911.85","","0.16%"
"10/16/2023","1919.44","1929.30","1931.80","1907.65","","-0.63%"
"10/13/2023","1931.70","1869.02","1933.76","1868.94","","3.37%"
"10/12/2023","1868.65","1874.10","1885.30","1866.92","","-0.26%"
"10/11/2023","1873.61","1859.99","1877.22","1858.60","","0.73%"
"10/10/2023","1860.09","1861.27","1865.65","1852.65","","-0.04%"
"10/09/2023","1860.88","1832.74","1864.15","1832.63","","1.56%"
"10/06/2023","1832.26","1820.40","1834.97","1810.10","","0.67%"
"10/05/2023","1820.01","1820.49","1829.30","1812.70","","-0.06%"
"10/04/2023","1821.08","1824.30","1831.05","1816.15","","-0.10%"
"10/03/2023","1822.81","1827.96","1833.36","1814.70","","-0.25%"
"10/02/2023","1827.40","1848.13","1849.06","1826.60","","-1.13%"
"09/29/2023","1848.31","1865.43","1880.24","1846.34","","-0.87%"
"09/28/2023","1864.56","1875.73","1880.15","1857.76","","-0.54%"
"09/27/2023","1874.70","1900.69","1903.95","1872.47","","-1.36%"
"09/26/2023","1900.49","1916.03","1916.89","1899.17","","-0.79%"
"09/25/2023","1915.66","1925.24","1927.26","1915.00","","-0.48%"
"09/22/2023","1924.99","1920.08","1929.65","1919.58","","0.28%"
"09/21/2023","1919.57","1930.99","1931.74","1913.40","","-0.52%"
"09/20/2023","1929.68","1931.69","1947.80","1927.90","","-0.07%"
"09/19/2023","1930.94","1933.68","1937.94","1929.71","","-0.11%"
"09/18/2023","1933.14","1924.19","1934.61","1922.15","","0.50%"
"09/15/2023","1923.57","1910.90","1930.84","1909.74","","0.69%"
"09/14/2023","1910.32","1906.68","1912.99","1900.95","","0.21%"
"09/13/2023","1906.30","1913.55","1916.30","1905.50","","-0.36%"
"09/12/2023","1913.26","1922.90","1925.05","1907.15","","-0.44%"
"09/11/2023","1921.66","1919.16","1930.90","1916.90","","0.20%"
"09/08/2023","1917.81","1919.57","1930.19","1917.36","","-0.07%"
"09/07/2023","1919.19","1916.86","1923.67","1916.10","","0.15%"
"09/06/2023","1916.28","1926.16","1929.80","1914.80","","-0.50%"
"09/05/2023","1925.81","1938.59","1939.13","1925.22","","-0.64%"
"09/04/2023","1938.19","1940.49","1946.42","1936.15","","-0.03%"
"09/01/2023","1938.80","1940.19","1953.44","1934.59","","-0.05%"
"08/31/2023","1939.74","1942.61","1948.19","1938.86","","-0.13%"
"08/30/2023","1942.24","1937.48","1949.04","1934.94","","0.26%"
"08/29/2023","1937.12","1920.23","1938.41","1914.00","","0.91%"
"08/28/2023","1919.66","1916.09","1926.19","1912.83","","0.27%"
"08/25/2023","1914.53","1917.80","1923.09","1903.40","","-0.11%"
"08/24/2023","1916.60","1914.15","1923.94","1911.35","","0.12%"
"08/23/2023","1914.31","1897.80","1920.94","1897.23","","0.91%"
"08/22/2023","1897.00","1895.09","1905.05","1888.60","","0.16%"
"08/21/2023","1893.94","1889.40","1899.05","1884.50","","0.30%"
"08/18/2023","1888.19","1889.49","1897.44","1886.20","","-0.04%"
"08/17/2023","1888.89","1892.20","1903.90","1884.50","","-0.15%"
"08/16/2023","1891.76","1901.59","1907.90","1891.30","","-0.52%"
"08/15/2023","1901.56","1907.40","1912.19","1896.15","","-0.33%"
"08/14/2023","1907.90","1913.67","1916.55","1902.20","","-0.28%"
"08/11/2023","1913.32","1912.65","1921.15","1910.94","","0.07%"
"08/10/2023","1912.06","1914.94","1930.11","1911.73","","-0.13%"
"08/09/2023","1914.59","1925.16","1932.48","1914.05","","-0.53%"
"08/08/2023","1924.82","1936.76","1938.15","1922.50","","-0.60%"
"08/07/2023","1936.39","1942.59","1946.81","1931.53","","-0.27%"
